location,latitude,longitude,place
Museo de Arte Contemporaneo,-39.812673,-73.250439,Valdivia
Parque Prochelle,-39.811496,-73.250524,Valdivia
Museo de la Exploracion,-39.813251,-73.251725,Valdivia
Iglesia San Francisco,-39.817885,-73.247583,Valdivia
Parque Urbano El Bosque,-39.83995,-73.245221,Valdivia
Jardin Botanico,-39.805638,-73.25191,Valdivia
Plaza de la Republica,-39.814168,-73.245902,Valdivia
Torreon del Barro,-39.817437,-73.232416,Valdivia
Centro Cultural El Austral,-39.816234,-73.248584,Valdivia
Museo de Sitio Castillo de Niebla,-39.870475,-73.40242,Valdivia
Castillo San Pedro Alcantara,-39.887133,-73.393051,Valdivia
